Laptop Name,Release Date,Order No.,Model No.,ID,Video Memory,Storage,Optical Drive,URL,CPU Cores,CPU Name,CPU Frequency,Memory Capacity,RAM Type,RAM Speed,GPU,GPU Type,GPU Standard VRAM,GPU Max VRAM,Display Resolution
"MacBook Pro 13"" ""Core i7"" 2.4 Late 2016","October 27, 2016",BTO/CTO,A1708,"MacBookPro13,1",1.5 GB*,256 GB SSD*,None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.4-13-late-2016-retina-display-no-touch-bar-specs.html,2,Core i7 (I7-6660U) ,2.4 GHz ,"8 GB*,16 GB*",LPDDR3 SDRAM*,1866 MHz,Iris Graphics 540,Integrated,1.5 GB*,1.5 GB*,2560x1600
"MacBook Pro 13"" ""Core i5"" 2.0 Late 2016","October 27, 2016",MLL42LL/A*,A1708,"MacBookPro13,1",1.5 GB*,256 GB SSD*,None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i5-2.0-13-late-2016-retina-display-no-touch-bar-specs.html,2,Core i5 (I5-6360U) ,2.0 GHz ,"8 GB*,16 GB*",LPDDR3 SDRAM*,1866 MHz,Iris Graphics 540,Integrated,1.5 GB*,1.5 GB*,2560x1600
"MacBook Pro 15"" ""Core i7"" 2.8 Mid-2015 (DG)","May 19, 2015",MJLU2LL/A*,A1398,"MacBookPro11,5",2 GB*,"512 GB, 1 TB SSD*",None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.8-15-dual-graphics-mid-2015-retina-display-specs.html,4,Core i7 (I7-4980HQ) ,2.8 GHz ,"16 GB,16 GB",DDR3L SDRAM*,1600 MHz,Radeon R9 M370X*,GDDR5*,2 GB*,2 GB*,2880x1800
"MacBook Pro 13"" ""Core i5"" 2.9 Touch/Late 2016","October 27, 2016*",MLH12LL/A*,A1706,"MacBookPro13,2",1.5 GB*,"256, 512 GB SSD*",None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i5-2.9-13-late-2016-retina-display-touch-bar-specs.html,2,Core i5 (I5-6267U) ,2.9 GHz ,"8 GB*,16 GB*",LPDDR3 SDRAM*,2133 MHz,Iris Graphics 550,Integrated,1.5 GB*,1.5 GB*,2560x1600
"MacBook Pro 15"" ""Core i7"" 2.5 Mid-2015 (DG)","May 19, 2015",MJLT2LL/A,A1398,"MacBookPro11,5",2 GB*,512 GB SSD,None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.5-15-dual-graphics-mid-2015-retina-display-specs.html,4,Core i7 (I7-4870HQ) ,2.5 GHz ,"16 GB,16 GB",DDR3L SDRAM*,1600 MHz,Radeon R9 M370X*,GDDR5*,2 GB*,2 GB*,2880x1800
"MacBook Pro 15"" ""Core i7"" 2.8 Mid-2015 (IG)","May 19, 2015",BTO/CTO,A1398,"MacBookPro11,4",1.5 GB*,256 GB SSD,None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.8-15-iris-only-mid-2015-retina-display-specs.html,4,Core i7 (I7-4980HQ) ,2.8 GHz ,"16 GB,16 GB",DDR3L SDRAM*,1600 MHz,Iris Pro 5200,Integrated,1.5 GB*,1.5 GB*,2880x1800
"MacBook Pro 15"" ""Core i7"" 2.5 Mid-2015 (IG)","May 19, 2015",BTO/CTO,A1398,"MacBookPro11,4",1.5 GB*,256 GB SSD,None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.5-15-iris-only-mid-2015-retina-display-specs.html,4,Core i7 (I7-4870HQ) ,2.5 GHz ,"16 GB,16 GB",DDR3L SDRAM*,1600 MHz,Iris Pro 5200,Integrated,1.5 GB*,1.5 GB*,2880x1800
"MacBook Pro 15"" ""Core i7"" 2.2 Mid-2015 (IG)","May 19, 2015",MJLQ2LL/A,A1398,"MacBookPro11,4",1.5 GB*,256 GB SSD,None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.2-15-iris-only-mid-2015-retina-display-specs.html,4,Core i7 (I7-4770HQ) ,2.2 GHz ,"16 GB,16 GB",DDR3L SDRAM*,1600 MHz,Iris Pro 5200,Integrated,1.5 GB*,1.5 GB*,2880x1800
"MacBook Pro 13"" ""Core i5"" 2.9 Early 2015","March 9, 2015",MF841LL/A,A1502,"MacBookPro12,1",1.5 GB*,512 GB SSD*,None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i5-2.9-13-early-2015-retina-display-specs.html,2,Core i5 (I5-5287U) ,2.9 GHz ,"8 GB*,16 GB*",LPDDR3 SDRAM*,1866 MHz,Iris Graphics 6100,Integrated,1.5 GB*,1.5 GB*,2560x1600
"MacBook Pro 13"" ""Core i7"" 3.1 Early 2015","March 9, 2015",MF843LL/A*,A1502,"MacBookPro12,1",1.5 GB*,"128, 256, 512 GB SSD",None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-3.1-13-early-2015-retina-display-specs.html,2,Core i7 (I7-5557U) ,3.1 GHz ,"8 GB*,16 GB*",LPDDR3 SDRAM*,1866 MHz,Iris Graphics 6100,Integrated,1.5 GB*,1.5 GB*,2560x1600
"MacBook Pro 13"" ""Core i5"" 2.7 Early 2015","March 9, 2015",MF839LL/A*,A1502,"MacBookPro12,1",1.5 GB*,"128, 256 GB SSD*",None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i5-2.7-13-early-2015-retina-display-specs.html,2,Core i5 (I5-5257U) ,2.7 GHz ,"8 GB*,16 GB*",LPDDR3 SDRAM*,1866 MHz,Iris Graphics 6100,Integrated,1.5 GB*,1.5 GB*,2560x1600
"MacBook Pro 15"" ""Core i7"" 2.8 Mid-2014 (DG)","July 29, 2014",MGXG2LL/A,A1398,"MacBookPro11,3",2 GB*,512 GB SSD*,None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.8-15-dual-graphics-mid-2014-retina-display-specs.html,4,Core i7 (I7-4980HQ) ,2.8 GHz ,"16 GB,16 GB",DDR3L SDRAM*,1600 MHz,GeForce GT 750M*,GDDR5,2 GB*,2 GB*,2880x1800
"MacBook Pro 15"" ""Core i7"" 2.8 Mid-2014 (IG)","July 29, 2014",BTO/CTO,A1398,"MacBookPro11,2",1.5 GB*,256 GB SSD,None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.8-15-iris-only-mid-2014-retina-display-specs.html,4,Core i7 (I7-4980HQ) ,2.8 GHz ,"16 GB,16 GB",DDR3L SDRAM*,1600 MHz,Iris Pro 5200,Integrated,1.5 GB*,1.5 GB*,2880x1800
"MacBook Pro 15"" ""Core i7"" 2.5 Mid-2014 (DG)","July 29, 2014",MGXC2LL/A,A1398,"MacBookPro11,3",2 GB*,512 GB SSD,None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.5-15-dual-graphics-mid-2014-retina-display-specs.html,4,Core i7 (I7-4870HQ) ,2.5 GHz ,"16 GB,16 GB",DDR3L SDRAM*,1600 MHz,GeForce GT 750M*,GDDR5,2 GB*,2 GB*,2880x1800
"MacBook Pro 15"" ""Core i7"" 2.5 Mid-2014 (IG)","July 29, 2014",BTO/CTO,A1398,"MacBookPro11,2",1.5 GB*,256 GB SSD,None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.5-15-iris-only-mid-2014-retina-display-specs.html,4,Core i7 (I7-4870HQ) ,2.5 GHz ,"16 GB,16 GB",DDR3L SDRAM*,1600 MHz,Iris Pro 5200,Integrated,1.5 GB*,1.5 GB*,2880x1800
"MacBook Pro 15"" ""Core i7"" 2.2 Mid-2014 (IG)","July 29, 2014",MGXA2LL/A,A1398,"MacBookPro11,2",1.5 GB*,256 GB SSD,None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.2-15-iris-only-mid-2014-retina-display-specs.html,4,Core i7 (I7-4770HQ) ,2.2 GHz ,"16 GB,16 GB",DDR3L SDRAM*,1600 MHz,Iris Pro 5200,Integrated,1.5 GB*,1.5 GB*,2880x1800
"MacBook Pro 13"" ""Core i7"" 3.0 Mid-2014","July 29, 2014",MGXD2LL/A,A1502,"MacBookPro11,1",1.5 GB*,"128, 256, 512 GB SSD",None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-3.0-13-mid-2014-retina-display-specs.html,2,Core i7 (I7-4578U) ,3.0 GHz ,"8 GB*,16 GB*",DDR3L SDRAM*,1600 MHz,Iris 5100,Integrated,1.5 GB*,1.5 GB*,2560x1600
"MacBook Pro 15"" ""Core i7"" 2.6 Late 2013 (DG)","October 22, 2013",ME874LL/A,A1398,"MacBookPro11,3",2 GB*,512 GB SSD,None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.6-15-dual-graphics-late-2013-retina-display-specs.html,4,Core i7 (I7-4960HQ) ,2.6 GHz ,"16 GB*,16 GB*",DDR3L SDRAM*,1600 MHz,GeForce GT 750M*,GDDR5,2 GB*,2 GB*,2880x1800
"MacBook Pro 13"" ""Core i5"" 2.8 Mid-2014","July 29, 2014",MGX92LL/A,A1502,"MacBookPro11,1",1.5 GB*,512 GB SSD,None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i5-2.8-13-mid-2014-retina-display-specs.html,2,Core i5 (I5-4308U) ,2.8 GHz ,"8 GB*,16 GB*",DDR3L SDRAM*,1600 MHz,Iris 5100,Integrated,1.5 GB*,1.5 GB*,2560x1600
"MacBook Pro 13"" ""Core i5"" 2.6 Mid-2014","July 29, 2014",MGX72LL/A*,A1502,"MacBookPro11,1",1.5 GB*,"128, 256 GB SSD",None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i5-2.6-13-mid-2014-retina-display-specs.html,2,Core i5 (I5-4278U) ,2.6 GHz ,"8 GB*,16 GB*",DDR3L SDRAM*,1600 MHz,Iris 5100,Integrated,1.5 GB*,1.5 GB*,2560x1600
"MacBook Pro 15"" ""Core i7"" 2.3 Late 2013 (DG)","October 22, 2013",ME294LL/A,A1398,"MacBookPro11,3",2 GB*,512 GB SSD,None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.3-15-dual-graphics-late-2013-retina-display-specs.html,4,Core i7 (I7-4850HQ) ,2.3 GHz ,"16 GB*,16 GB*",DDR3L SDRAM*,1600 MHz,GeForce GT 750M*,GDDR5,2 GB*,2 GB*,2880x1800
"MacBook Pro 15"" ""Core i7"" 2.6 Late 2013 (IG)","October 22, 2013",BTO/CTO,A1398,"MacBookPro11,2",1.5 GB*,256 GB SSD,None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.6-15-iris-only-late-2013-retina-display-specs.html,4,Core i7 (I7-4960HQ) ,2.6 GHz ,"8 GB*,16 GB*",DDR3L SDRAM*,1600 MHz,Iris Pro 5200,Integrated,1.5 GB*,1.5 GB*,2880x1800
"MacBook Pro 15"" ""Core i7"" 2.3 Late 2013 (IG)","October 22, 2013",BTO/CTO,A1398,"MacBookPro11,2",1.5 GB*,256 GB SSD,None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.3-15-iris-only-late-2013-retina-display-specs.html,4,Core i7 (I7-4850HQ) ,2.3 GHz ,"8 GB*,16 GB*",DDR3L SDRAM*,1600 MHz,Iris Pro 5200,Integrated,1.5 GB*,1.5 GB*,2880x1800
"MacBook Pro 15"" ""Core i7"" 2.0 Late 2013 (IG)","October 22, 2013",ME293LL/A,A1398,"MacBookPro11,2",1.5 GB*,256 GB SSD,None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.0-15-iris-only-late-2013-retina-display-specs.html,4,Core i7 (I7-4750HQ) ,2.0 GHz ,"8 GB*,16 GB*",DDR3L SDRAM*,1600 MHz,Iris Pro 5200,Integrated,1.5 GB*,1.5 GB*,2880x1800
"MacBook Pro 13"" ""Core i7"" 2.8 Late 2013","October 22, 2013",ME867LL/A,A1502,"MacBookPro11,1",1.5 GB*,"128, 256, 512 GB SSD",None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.8-13-late-2013-retina-display-specs.html,2,Core i7 (I7-4558U) ,2.8 GHz ,"4 GB, 8 GB*,16 GB*",DDR3L SDRAM*,1600 MHz,Iris 5100,Integrated,1.5 GB*,1.5 GB*,2560x1600
"MacBook Pro 13"" ""Core i5"" 2.6 Late 2013","October 22, 2013",ME866LL/A,A1502,"MacBookPro11,1",1.5 GB*,512 GB SSD,None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i5-2.6-13-late-2013-retina-display-specs.html,2,Core i5 (I5-4288U) ,2.6 GHz ,"8 GB*,16 GB*",DDR3L SDRAM*,1600 MHz,Iris 5100,Integrated,1.5 GB*,1.5 GB*,2560x1600
"MacBook Pro 13"" ""Core i5"" 2.4 Late 2013","October 22, 2013",ME864LL/A*,A1502,"MacBookPro11,1",1.5 GB*,"128 GB, 256 GB SSD",None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i5-2.4-13-late-2013-retina-display-specs.html,2,Core i5 (I5-4258U) ,2.4 GHz ,"4 GB, 8 GB*,16 GB*",DDR3L SDRAM*,1600 MHz,Iris 5100,Integrated,1.5 GB*,1.5 GB*,2560x1600
"MacBook Pro 15"" ""Core i7"" 2.8 Early 2013","February 13, 2013",ME698LL/A,A1398,"MacBookPro10,1",1 GB*,"256, 512, 768 GB SSD*",None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.8-15-early-2013-retina-display-specs.html,4,Core i7 (I7-3840QM) ,2.8 GHz ,"8 GB, 16 GB*,16 GB*",DDR3L SDRAM*,1600 MHz,GeForce GT 650M*,GDDR5,1 GB*,1 GB*,2880x1800
"MacBook Pro 15"" ""Core i7"" 2.4 Early 2013","February 13, 2013",ME664LL/A,A1398,"MacBookPro10,1",1 GB*,256 GB SSD,None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.4-15-early-2013-retina-display-specs.html,4,Core i7 (I7-3635QM) ,2.4 GHz ,"8 GB,16 GB*",DDR3L SDRAM*,1600 MHz,GeForce GT 650M*,GDDR5,1 GB*,1 GB*,2880x1800
"MacBook Pro 15"" ""Core i7"" 2.7 Early 2013","February 13, 2013",ME665LL/A,A1398,"MacBookPro10,1",1 GB*,512 GB SSD*,None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.7-15-early-2013-retina-display-specs.html,4,Core i7 (I7-3740QM) ,2.7 GHz ,"16 GB*,16 GB*",DDR3L SDRAM*,1600 MHz,GeForce GT 650M*,GDDR5,1 GB*,1 GB*,2880x1800
"MacBook Pro 13"" ""Core i7"" 3.0 Early 2013","February 13, 2013",BTO/CTO,A1425,"MacBookPro10,2",768 MB*,256 GB SSD,None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-3.0-13-early-2013-retina-display-specs.html,2,Core i7 (I7-3540M) ,3.0 GHz ,"8 GB*,8 GB*",DDR3L SDRAM*,1600 MHz,HD Graphics 4000,Integrated,768 MB*,768 MB*,2560x1600
"MacBook Pro 13"" ""Core i5"" 2.6 Early 2013","February 13, 2013",ME662LL/A,A1425,"MacBookPro10,2",768 MB*,256 GB SSD,None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i5-2.6-13-early-2013-retina-display-specs.html,2,Core i5 (I5-3230M) ,2.6 GHz ,"8 GB*,8 GB*",DDR3L SDRAM*,1600 MHz,HD Graphics 4000,Integrated,768 MB*,768 MB*,2560x1600
"MacBook Pro 13"" ""Core i7"" 2.9 Retina 2012","October 23, 2012",ME116LL/A*,A1425,"MacBookPro10,2",768 MB*,"128, 256 GB SSD*",None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.9-13-late-2012-retina-display-specs.html,2,Core i7 (I7-3520M) ,2.9 GHz ,"8 GB*,8 GB*",DDR3L SDRAM*,1600 MHz,HD Graphics 4000,Integrated,768 MB*,768 MB*,2560x1600
"MacBook Pro 13"" ""Core i5"" 2.5 Retina 2012","October 23, 2012",MD212LL/A*,A1425,"MacBookPro10,2",768 MB*,"128, 256 GB SSD",None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i5-2.5-13-late-2012-retina-display-specs.html,2,Core i5 (I5-3210M) ,2.5 GHz ,"8 GB*,8 GB*",DDR3L SDRAM*,1600 MHz,HD Graphics 4000,Integrated,768 MB*,768 MB*,2560x1600
"MacBook Pro 15"" ""Core i7"" 2.7 Retina 2012","June 11, 2012",MD831LL/A,A1398,"MacBookPro10,1",1 GB*,512 GB SSD*,None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.7-15-mid-2012-retina-display-specs.html,4,Core i7 (I7-3820QM) ,2.7 GHz ,"8 GB,16 GB*",DDR3L SDRAM*,1600 MHz,GeForce GT 650M*,GDDR5,1 GB*,1 GB*,2880x1800
"MacBook Pro 15"" ""Core i7"" 2.6 Retina 2012","June 11, 2012",MC976LL/A,A1398,"MacBookPro10,1",1 GB*,512 GB SSD,None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.6-15-mid-2012-retina-display-specs.html,4,Core i7 (I7-3720QM) ,2.6 GHz ,"8 GB,16 GB*",DDR3L SDRAM*,1600 MHz,GeForce GT 650M*,GDDR5,1 GB*,1 GB*,2880x1800
"MacBook Pro 15"" ""Core i7"" 2.3 Retina 2012","June 11, 2012",MC975LL/A,A1398,"MacBookPro10,1",1 GB*,256 GB SSD,None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.3-15-mid-2012-retina-display-specs.html,4,Core i7 (I7-3615QM) ,2.3 GHz ,"8 GB,16 GB*",DDR3L SDRAM*,1600 MHz,GeForce GT 650M*,GDDR5,1 GB*,1 GB*,2880x1800
"MacBook Pro 15"" ""Core i7"" 2.6 Mid-2012","June 11, 2012",MD104LL/A,A1286,"MacBookPro9,1",1 GB*,750 GB* HDD,"8X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.6-15-mid-2012-unibody-usb3-specs.html,4,Core i7 (I7-3720QM) ,2.6 GHz ,"8 GB*,16 GB**",PC3-12800 DDR3L,1600 MHz,GeForce GT 650M*,GDDR5,1 GB*,1 GB*,1440x900
"MacBook Pro 15"" ""Core i7"" 2.7 Mid-2012","June 11, 2012",MD546LL/A*,A1286,"MacBookPro9,1",1 GB*,750 GB* HDD,"8X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.7-15-mid-2012-unibody-usb3-specs.html,4,Core i7 (I7-3820QM) ,2.7 GHz ,"8 GB*,16 GB**",PC3-12800 DDR3L,1600 MHz,GeForce GT 650M*,GDDR5,1 GB*,1 GB*,1440x900
"MacBook Pro 15"" ""Core i7"" 2.3 Mid-2012","June 11, 2012",MD103LL/A,A1286,"MacBookPro9,1",512 MB*,500 GB HDD,"8X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.3-15-mid-2012-unibody-usb3-specs.html,4,Core i7 (I7-3615QM) ,2.3 GHz ,"4 GB,16 GB*",PC3-12800 DDR3L,1600 MHz,GeForce GT 650M*,GDDR5,512 MB*,512 MB*,1440x900
"MacBook Pro 13"" ""Core i7"" 2.9 Mid-2012","June 11, 2012",MD102LL/A,A1278,"MacBookPro9,2",768 MB*,750 GB HDD,"8X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.9-13-mid-2012-unibody-usb3-specs.html,2,Core i7 (I7-3520M) ,2.9 GHz ,"8 GB,16 GB*",PC3-12800 DDR3L,1600 MHz,HD Graphics 4000,Integrated,768 MB*,768 MB*,1280x800
"MacBook Pro 17"" ""Core i7"" 2.5 Late 2011","October 24, 2011",BTO/CTO,A1297,"MacBookPro8,3",1 GB*,750 GB HDD,"8X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.5-17-late-2011-unibody-thunderbolt-specs.html,4,Core i7 (I7-2860QM) ,2.5 GHz ,"4 GB,16 GB*",PC3-10600 DDR3,1333 MHz,Radeon HD 6770M*,GDDR5,1 GB*,1 GB*,1920x1200
"MacBook Pro 13"" ""Core i5"" 2.5 Mid-2012","June 11, 2012",MD101LL/A*,A1278,"MacBookPro9,2",512 MB*,500 GB HDD,"8X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i5-2.5-13-mid-2012-unibody-usb3-specs.html,2,Core i5 (I5-3210M) ,2.5 GHz ,"4 GB,16 GB*",PC3-12800 DDR3L,1600 MHz,HD Graphics 4000,Integrated,512 MB*,768 MB*,1280x800
"MacBook Pro 17"" ""Core i7"" 2.4 Late 2011","October 24, 2011",MD311LL/A,A1297,"MacBookPro8,3",1 GB*,750 GB HDD,"8X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.4-17-late-2011-unibody-thunderbolt-specs.html,4,Core i7 (I7-2760QM) ,2.4 GHz ,"4 GB,16 GB*",PC3-10600 DDR3,1333 MHz,Radeon HD 6770M*,GDDR5,1 GB*,1 GB*,1920x1200
"MacBook Pro 15"" ""Core i7"" 2.2 Late 2011","October 24, 2011",MD318LL/A,A1286,"MacBookPro8,2",512 MB*,500 GB HDD,"8X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.2-15-late-2011-unibody-thunderbolt-specs.html,4,Core i7 (I7-2675QM) ,2.2 GHz ,"4 GB,16 GB*",PC3-10600 DDR3,1333 MHz,Radeon HD 6750M*,GDDR5,512 MB*,512 MB*,1440x900
"MacBook Pro 15"" ""Core i7"" 2.5 Late 2011","October 24, 2011",BTO/CTO,A1286,"MacBookPro8,2",1 GB*,750 GB HDD,"8X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.5-15-late-2011-unibody-thunderbolt-specs.html,4,Core i7 (I7-2860QM) ,2.5 GHz ,"4 GB,16 GB*",PC3-10600 DDR3,1333 MHz,Radeon HD 6770M*,GDDR5,1 GB*,1 GB*,1440x900
"MacBook Pro 15"" ""Core i7"" 2.4 Late 2011","October 24, 2011",MD322LL/A,A1286,"MacBookPro8,2",1 GB*,750 GB HDD,"8X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.4-15-late-2011-unibody-thunderbolt-specs.html,4,Core i7 (I7-2760QM) ,2.4 GHz ,"4 GB,16 GB*",PC3-10600 DDR3,1333 MHz,Radeon HD 6770M*,GDDR5,1 GB*,1 GB*,1440x900
"MacBook Pro 13"" ""Core i7"" 2.8 Late 2011","October 24, 2011",MD314LL/A,A1278,"MacBookPro8,1",384 MB,750 GB HDD,"8X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.8-13-late-2011-unibody-thunderbolt-specs.html,2,Core i7 (I7-2640M) ,2.8 GHz ,"4 GB,16 GB*",PC3-10600 DDR3,1333 MHz,HD Graphics 3000,Integrated,384 MB,512 MB*,1280x800
"MacBook Pro 13"" ""Core i5"" 2.4 Late 2011","October 24, 2011",MD313LL/A,A1278,"MacBookPro8,1",384 MB,500 GB HDD,"8X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i5-2.4-13-late-2011-unibody-thunderbolt-specs.html,2,Core i5 (I5-2435M) ,2.4 GHz ,"4 GB,16 GB*",PC3-10600 DDR3,1333 MHz,HD Graphics 3000,Integrated,384 MB,512 MB*,1280x800
"MacBook Pro 17"" ""Core i7"" 2.3 Early 2011","February 24, 2011",BTO/CTO,A1297,"MacBookPro8,3",1 GB*,750 GB HDD,"8X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.3-17-early-2011-unibody-thunderbolt-specs.html,4,Core i7 (I7-2820QM) ,2.3 GHz ,"4 GB,16 GB*",PC3-10600 DDR3,1333 MHz,Radeon HD 6750M*,GDDR5,1 GB*,1 GB*,1920x1200
"MacBook Pro 17"" ""Core i7"" 2.2 Early 2011","February 24, 2011",MC725LL/A,A1297,"MacBookPro8,3",1 GB*,750 GB HDD,"8X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.2-17-early-2011-unibody-thunderbolt-specs.html,4,Core i7 (I7-2720QM) ,2.2 GHz ,"4 GB,16 GB*",PC3-10600 DDR3,1333 MHz,Radeon HD 6750M*,GDDR5,1 GB*,1 GB*,1920x1200
"MacBook Pro 15"" ""Core i7"" 2.3 Early 2011","February 24, 2011",MD035LL/A,A1286,"MacBookPro8,2",1 GB*,750 GB HDD,"8X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.3-15-early-2011-unibody-thunderbolt-specs.html,4,Core i7 (I7-2820QM) ,2.3 GHz ,"4 GB,16 GB*",PC3-10600 DDR3,1333 MHz,Radeon HD 6750M*,GDDR5,1 GB*,1 GB*,1440x900
"MacBook Pro 15"" ""Core i7"" 2.2 Early 2011","February 24, 2011",MC723LL/A,A1286,"MacBookPro8,2",1 GB*,750 GB HDD,"8X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.2-15-early-2011-unibody-thunderbolt-specs.html,4,Core i7 (I7-2720QM) ,2.2 GHz ,"4 GB,16 GB*",PC3-10600 DDR3,1333 MHz,Radeon HD 6750M*,GDDR5,1 GB*,1 GB*,1440x900
"MacBook Pro 15"" ""Core i7"" 2.0 Early 2011","February 24, 2011",MC721LL/A,A1286,"MacBookPro8,2",256 MB*,500 GB HDD,"8X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.0-15-early-2011-unibody-thunderbolt-specs.html,4,Core i7 (I7-2635QM) ,2.0 GHz ,"4 GB,16 GB*",PC3-10600 DDR3,1333 MHz,Radeon HD 6490M*,GDDR5,256 MB*,256 MB*,1440x900
"MacBook Pro 13"" ""Core i7"" 2.7 Early 2011","February 24, 2011",MC724LL/A,A1278,"MacBookPro8,1",384 MB,500 GB HDD,"8X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.7-13-early-2011-unibody-thunderbolt-specs.html,2,Core i7 (I7-2620M) ,2.7 GHz ,"4 GB,16 GB*",PC3-10600 DDR3,1333 MHz,HD Graphics 3000,Integrated,384 MB,512 MB*,1280x800
"MacBook Pro 13"" ""Core i5"" 2.3 Early 2011","February 24, 2011",MC700LL/A,A1278,"MacBookPro8,1",384 MB,320 GB HDD,"8X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i5-2.3-13-early-2011-unibody-thunderbolt-specs.html,2,Core i5 (I5-2415M) ,2.3 GHz ,"4 GB,16 GB*",PC3-10600 DDR3,1333 MHz,HD Graphics 3000,Integrated,384 MB,512 MB*,1280x800
"MacBook Pro 17"" ""Core i7"" 2.8 Mid-2010","October 20, 2010",BTO/CTO,A1297,"MacBookPro6,1",512 MB*,500 GB HDD,"8X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.8-aluminum-17-mid-2010-unibody-specs.html,2,Core i7 (I7-640M) ,2.8 GHz ,"4 GB,8 GB",PC3-8500 DDR3,1066 MHz,GeForce GT 330M*,GDDR3,512 MB*,512 MB*,1920x1200
